,method,threshold,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0,threshold,0.1,0.14326241134751774,1.0,0.2506203473945409,101,0,604,1.4616411413465227,1.0,1.0,1.0,1.0
1,threshold,0.2,0.15823817292006526,0.9603960396039604,0.2717086834733894,97,4,516,1.3034495285579137,0.9993632662446573,0.9993580592536639,0.9993527364745091,0.9993472934779776
2,threshold,0.3,0.16847826086956522,0.9207920792079208,0.28483920367534454,93,8,459,1.3180816173553467,0.998727027505576,0.998716625873822,0.99870599322485,0.9986951207364957
3,threshold,0.4,0.25227963525835867,0.8217821782178217,0.386046511627907,83,18,246,1.2996726717267717,0.9970651104922862,0.997040515757068,0.9970153602709028,0.9969896220292297
4,threshold,0.5,0.5217391304347826,0.2376237623762376,0.32653061224489793,24,77,22,1.3132307870047433,0.9816837140648994,0.9756622882922227,0.9703621499394727,0.9653761908947034
5,threshold,0.6,0.0,0.0,0.0,0,101,0,1.3218859604426794,-1.0,-1.0,-1.0,-1.0
6,zero-few-shot,,0.7837837837837838,0.8613861386138614,0.8207547169811322,87,14,24,9.581412928445,0.9972805990059179,0.9947581677011227,0.9930465867299917,0.9916999200185589
7,both,0.1,0.7837837837837838,0.8613861386138614,0.8207547169811322,87,14,24,10.169916187013898,0.9972805990059179,0.9947581677011227,0.9930465867299917,0.9916999200185589
8,both,0.2,0.7962962962962963,0.8514851485148515,0.8229665071770336,86,15,22,8.977477516446795,0.9971258960356209,0.9946022368521275,0.9928894015396503,0.9915414530446254
9,both,0.3,0.7980769230769231,0.8217821782178217,0.8097560975609756,83,18,21,8.31323950631278,0.9966453883552749,0.9937997758183331,0.9920800990441456,0.9907250874602352
10,both,0.4,0.7956989247311828,0.7326732673267327,0.7628865979381444,74,27,19,5.485437870025635,0.9951457826550838,0.9917762497478192,0.9895267627287503,0.9877443789763751
11,both,0.5,0.7777777777777778,0.2079207920792079,0.328125,21,80,6,1.8988746574946813,0.977861392298962,0.9681007892035961,0.9594337514567522,0.9509198017619874
12,both,0.6,0.0,0.0,0.0,0,101,0,1.3279409749167306,-1.0,-1.0,-1.0,-1.0
