,method,threshold,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0,threshold,0.1,0.11061946902654868,1.0,0.199203187250996,100,0,804,1.3560655117034912,1.0,1.0,1.0,1.0
1,threshold,0.2,0.141643059490085,1.0,0.24813895781637715,100,0,606,1.2521604776382447,1.0,1.0,1.0,1.0
2,threshold,0.3,0.2028985507246377,0.98,0.33619210977701547,98,2,385,1.2555957317352295,0.9931503331097198,0.9927711213725078,0.9923058765559968,0.9917047998220536
3,threshold,0.4,0.2869822485207101,0.97,0.4429223744292238,97,3,241,1.263669729232788,0.9902091566391317,0.98832831067477,0.986258754998045,0.9847696594218196
4,threshold,0.5,0.45365853658536587,0.93,0.6098360655737705,93,7,112,1.2582436084747315,0.9775969499805447,0.9705692772926061,0.9649098532503045,0.9608021244875243
5,threshold,0.6,0.7884615384615384,0.82,0.803921568627451,82,18,22,1.263840389251709,0.9247408736793219,0.8997400016427934,0.880435467722373,0.8651322432372064
6,threshold,0.7,0.8813559322033898,0.52,0.6540880503144655,52,48,7,1.2633169174194336,0.8142094154583271,0.7619938199162661,0.7216254165565542,0.6787077726359789
7,threshold,0.8,0.9230769230769231,0.24,0.38095238095238093,24,76,2,1.2600204944610596,0.6089086831519318,0.5242248798341492,0.46555167054941526,0.4065628540971378
8,threshold,0.9,1.0,0.07,0.13084112149532712,7,93,0,1.2587795734405518,0.3783487892719265,0.3060998940135818,0.24464345129662668,0.19200994949127598
9,threshold,1.0,1.0,0.01,0.019801980198019802,1,99,0,1.2625137090682983,0.1141815518009757,0.05926656155810308,0.044678271183579345,0.03363191662581301
10,zero-few-shot,,1.0,0.47,0.6394557823129251,47,53,0,4.760915637016296,0.7082187099807732,0.6563825840508477,0.6200212032132093,0.5870020422390414
11,both,0.1,1.0,0.47,0.6394557823129251,47,53,0,5.511403894424438,0.7082187099807732,0.6563825840508477,0.6200212032132093,0.5870020422390414
12,both,0.2,1.0,0.47,0.6394557823129251,47,53,0,4.528937935829163,0.7082187099807732,0.6563825840508477,0.6200212032132093,0.5870020422390414
13,both,0.3,1.0,0.47,0.6394557823129251,47,53,0,3.495893883705139,0.7082187099807732,0.6563825840508477,0.6200212032132093,0.5870020422390414
14,both,0.4,1.0,0.47,0.6394557823129251,47,53,0,2.8251027345657347,0.7082187099807732,0.6563825840508477,0.6200212032132093,0.5870020422390414
15,both,0.5,1.0,0.47,0.6394557823129251,47,53,0,2.2059646368026735,0.7082187099807732,0.6563825840508477,0.6200212032132093,0.5870020422390414
16,both,0.6,1.0,0.45,0.6206896551724138,45,55,0,1.7399385690689086,0.7035872867584749,0.6476008518658282,0.6083696272062532,0.573148838532284
17,both,0.7,1.0,0.3,0.4615384615384615,30,70,0,1.5415597438812256,0.6242648292648745,0.5492049456397781,0.49284216833699696,0.4424438686917934
18,both,0.8,1.0,0.15,0.2608695652173913,15,85,0,1.3817034482955932,0.4746793469717738,0.3805574773111334,0.31933513515943096,0.2662491382697094
19,both,0.9,1.0,0.05,0.09523809523809523,5,95,0,1.2954227685928346,0.27773119280190034,0.2054903268066157,0.15600524738870422,0.11768215785824485
20,both,1.0,0.0,0.0,0.0,0,100,0,1.2636420249938964,-1.0,-1.0,-1.0,-1.0
