,method,threshold,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0,threshold,0.1,0.15656565656565657,0.93,0.2680115273775216,93,7,501,1.389067244529724,0.9875436507936507,0.9861592225850961,0.9842642151964389,0.9821196784399518
1,threshold,0.2,0.4088669950738916,0.83,0.5478547854785478,83,17,120,1.2773895740509034,0.908403887555367,0.892724995949001,0.8779210646217109,0.8629786186037697
2,threshold,0.3,0.628099173553719,0.76,0.6877828054298643,76,24,45,1.2857275009155273,0.8392220795693174,0.8194426934741027,0.8000858086655377,0.7848124558231335
3,threshold,0.4,0.6923076923076923,0.54,0.6067415730337079,54,46,24,1.2846726655960083,0.7015658238336238,0.67140508546405,0.6384184078234825,0.6115313572185406
4,threshold,0.5,0.65,0.13,0.21666666666666667,13,87,7,1.2785995721817016,0.37874037568267943,0.3060383525174528,0.2657243093611468,0.24215378789163322
5,threshold,0.6,0.0,0.0,0.0,0,100,1,1.2838392019271851,0.12349733269176073,0.061671751013624806,0.04576829939788976,0.035064405422391746
6,zero-few-shot,,0.6078431372549019,0.93,0.7351778656126482,93,7,60,8.822342991828918,0.9670091403846182,0.9628191896314342,0.9561229971777311,0.9493475427592295
7,both,0.1,0.6423357664233577,0.88,0.7426160337552743,88,12,49,6.2488041639328005,0.9383205511513484,0.9294699371223811,0.9194647990921194,0.9099759586265728
8,both,0.2,0.7105263157894737,0.81,0.7570093457943925,81,19,33,2.986084985733032,0.8782373477010941,0.8599459589623311,0.8422058231461889,0.8297325181840637
9,both,0.3,0.7281553398058253,0.75,0.7389162561576353,75,25,28,2.3005459785461424,0.826926962202336,0.8066733409812202,0.7853877421371104,0.7718914041410967
10,both,0.4,0.75,0.54,0.627906976744186,54,46,18,1.9422515392303468,0.6971913416349661,0.6658245078403533,0.6313525869702153,0.6044763618981948
11,both,0.5,0.7647058823529411,0.13,0.22222222222222224,13,87,4,1.450198483467102,0.3650676335685553,0.28946765240027966,0.24733456649199148,0.22336147394927888
12,both,0.6,0.0,0.0,0.0,0,100,0,1.2935062646865845,-1.0,-1.0,-1.0,-1.0
13,both,0.7,0.0,0.0,0.0,0,100,0,1.2897234678268432,-1.0,-1.0,-1.0,-1.0
14,both,0.8,0.0,0.0,0.0,0,100,0,1.2922003030776978,-1.0,-1.0,-1.0,-1.0
15,both,0.9,0.0,0.0,0.0,0,100,0,1.280957531929016,-1.0,-1.0,-1.0,-1.0
16,both,1.0,0.0,0.0,0.0,0,100,0,1.3141536235809326,-1.0,-1.0,-1.0,-1.0
