threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0.6,both,RECORD_WISE,FULL_SERIALIZED,0.775,0.7045454545454546,0.7380952380952381,93,39,27,750.0414431095123,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.5,both,RECORD_WISE,FULL_SERIALIZED,0.775,0.7045454545454546,0.7380952380952381,93,39,27,749.0325803756714,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.4,both,RECORD_WISE,FULL_SERIALIZED,0.775,0.7045454545454546,0.7380952380952381,93,39,27,750.7796368598938,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.3,both,RECORD_WISE,FULL_SERIALIZED,0.775,0.7045454545454546,0.7380952380952381,93,39,27,751.9050011634827,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.2,both,RECORD_WISE,FULL_SERIALIZED,0.775,0.7045454545454546,0.7380952380952381,93,39,27,749.2401247024536,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.1,both,RECORD_WISE,FULL_SERIALIZED,0.775,0.7045454545454546,0.7380952380952381,93,39,27,749.4613211154938,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
1.0,both,COLUMN_WISE,,0.0,0.0,0.0,0,132,0,1.9993107318878174,-1.0,-1.0,-1.0,-1.0
0.9,both,COLUMN_WISE,,0.8846153846153846,0.3484848484848485,0.5,46,86,6,5.559404611587524,0.7001003831643656,0.6203497526784191,0.5721835541398902,0.5353039846655515
0.8,both,COLUMN_WISE,,0.8073394495412844,0.6666666666666666,0.7302904564315352,88,44,21,9.567351579666138,0.8589948841218534,0.8209759935831372,0.7965436996010052,0.776939818917437
0.7,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,11.779591798782349,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.6,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,14.916902542114258,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.5,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,60.855040550231934,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.4,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,466.9374759197235,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.3,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,746.9974315166473,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.2,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,754.6289823055267,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
0.1,both,COLUMN_WISE,,0.775,0.7045454545454546,0.7380952380952381,93,39,27,751.9360866546631,0.8831624884072259,0.8522393545238156,0.8324401085150375,0.81624060523178
