threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
0.8,both,RECORD_WISE,FULL_SERIALIZED,0.9404761904761905,0.79,0.858695652173913,79,21,5,24.287282943725586,0.8577963440591836,0.830385414277706,0.815556642176679,0.8068574745873995
0.7,both,RECORD_WISE,FULL_SERIALIZED,0.93,0.93,0.93,93,7,7,60.50805115699768,0.9544204555607765,0.9458286310814829,0.9406172115667119,0.9378972430791294
0.6,both,RECORD_WISE,FULL_SERIALIZED,0.93,0.93,0.93,93,7,7,202.79900813102722,0.9544204555607765,0.9458286310814829,0.9406172115667119,0.9378972430791294
0.5,both,RECORD_WISE,FULL_SERIALIZED,0.93,0.93,0.93,93,7,7,593.5792520046234,0.9544204555607765,0.9458286310814829,0.9406172115667119,0.9378972430791294
1.0,both,COLUMN_WISE,,0.0,0.0,0.0,0,100,0,2.1268506050109863,-1.0,-1.0,-1.0,-1.0
0.9,both,COLUMN_WISE,,0.0,0.0,0.0,0,100,0,2.2812557220458984,-1.0,-1.0,-1.0,-1.0
0.8,both,COLUMN_WISE,,1.0,0.09,0.16513761467889906,9,91,0,3.561336040496826,0.32571674363025055,0.21794976064058352,0.16741321557830552,0.13715051655476887
0.7,both,COLUMN_WISE,,1.0,0.19,0.319327731092437,19,81,0,6.106469392776489,0.43404517819262173,0.3303951364766053,0.28004975825902656,0.24849718770295395
0.6,both,COLUMN_WISE,,0.9555555555555556,0.43,0.593103448275862,43,57,2,16.03851819038391,0.6174568798306629,0.5420775372347595,0.50384995910902,0.47948024016048296
0.5,both,COLUMN_WISE,,0.9242424242424242,0.61,0.7349397590361445,61,39,5,58.51394200325012,0.746034149938223,0.695818517110133,0.6681157025708012,0.6495085163687362
0.4,both,COLUMN_WISE,,0.9367088607594937,0.74,0.8268156424581006,74,26,5,256.9446852207184,0.8259814206731645,0.793185187485648,0.7741460971371553,0.7610935848234874
0.3,both,COLUMN_WISE,,0.9285714285714286,0.91,0.9191919191919193,91,9,7,467.29810976982117,0.9405193877180964,0.9297679458858668,0.9234880696663285,0.9200258828517885
0.2,both,COLUMN_WISE,,0.93,0.93,0.93,93,7,7,648.1766633987427,0.9544204555607765,0.9458286310814829,0.9406172115667119,0.9378972430791294
