threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,tp,fn,fp,runtime,bleu1,bleu2,bleu3,bleu4
1.0,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,3.192026138305664,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.993992805480957,-1.0,-1.0,-1.0,-1.0
0.8,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.9994709491729736,-1.0,-1.0,-1.0,-1.0
0.7,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.996534824371338,-1.0,-1.0,-1.0,-1.0
0.6,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0,100,0,1.9994523525238037,-1.0,-1.0,-1.0,-1.0
0.5,threshold,RECORD_WISE,FIELD_SERIALIZED,0.6666666666666666,0.04,0.07547169811320754,4,96,2,1.9756228923797607,0.26430238612990764,0.15694942420869282,0.1125107145931002,0.08611055351506453
0.4,threshold,RECORD_WISE,FIELD_SERIALIZED,0.38235294117647056,0.39,0.38613861386138615,39,61,63,1.9794127941131592,0.6338199145910907,0.564525762446124,0.5312797543739348,0.5107231551096681
0.3,threshold,RECORD_WISE,FIELD_SERIALIZED,0.07671232876712329,0.84,0.14058577405857742,84,16,1011,2.0337042808532715,0.9464404459060407,0.9374458596772215,0.9327766986700214,0.929865806884903
0.2,threshold,RECORD_WISE,FIELD_SERIALIZED,0.021417862497322766,1.0,0.04193751310547285,100,0,4569,2.0310678482055664,1.0,1.0,1.0,1.0
1.0,threshold,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,0,100,0,1.744102954864502,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FULL_SERIALIZED,0.7741935483870968,0.24,0.366412213740458,24,76,7,1.730285406112671,0.4766712175867234,0.3825467626421129,0.3346257071686905,0.30463566462441044
0.8,threshold,RECORD_WISE,FULL_SERIALIZED,0.38073394495412843,0.83,0.5220125786163522,83,17,135,1.7404344081878662,0.9003608107769024,0.8809662898016282,0.8700356792579814,0.8637390692435486
0.7,threshold,RECORD_WISE,FULL_SERIALIZED,0.17307692307692307,0.99,0.29464285714285715,99,1,473,1.7324469089508057,0.9938636363636364,0.9926810745376682,0.9922769433372531,0.9922165301403397
0.6,threshold,RECORD_WISE,FULL_SERIALIZED,0.05104645227156713,1.0,0.09713453132588634,100,0,1859,1.7726709842681885,1.0,1.0,1.0,1.0
1.0,threshold,COLUMN_WISE,,0.0,0.0,0.0,0,100,0,2.122535228729248,-1.0,-1.0,-1.0,-1.0
0.9,threshold,COLUMN_WISE,,0.0,0.0,0.0,0,100,0,2.2451400756835938,-1.0,-1.0,-1.0,-1.0
