threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,Runtime,bleu1,bleu2,bleu3,bleu4
0.4,both,RECORD_WISE,FULL_SERIALIZED,0.6363636363636364,0.5303030303030303,0.578512396694215,602.9962389469147,0.8178742781583495,0.7658982422642144,0.7419298206857642,0.7261027583827281
0.3,both,RECORD_WISE,FULL_SERIALIZED,0.625,0.5303030303030303,0.5737704918032787,584.9728388786316,0.8347855455317693,0.7914377125712939,0.7689407127018729,0.7527313644782798
0.2,both,RECORD_WISE,FULL_SERIALIZED,0.7634408602150538,0.5378787878787878,0.6311111111111111,577.4469780921936,0.8139631641092171,0.7640015617032011,0.7401503589699449,0.7225946202090675
0.1,both,RECORD_WISE,FULL_SERIALIZED,0.6804123711340206,0.5,0.5764192139737991,584.2045907974243,0.8026491269397295,0.754936001273043,0.7307277174422769,0.7127919678924836
1.0,both,COLUMN_WISE,,0.0,0.0,0.0,1.9077739715576172,-1.0,-1.0,-1.0,-1.0
0.9,both,COLUMN_WISE,,0.7843137254901961,0.30303030303030304,0.4371584699453552,88.06190299987793,0.6909997137565955,0.6064822302816835,0.5688032243799542,0.5417118299816917
0.8,both,COLUMN_WISE,,0.8481012658227848,0.5075757575757576,0.6350710900473934,126.59877324104309,0.7899973431185057,0.731787098837809,0.7046718153065405,0.685944893118298
0.7,both,COLUMN_WISE,,0.8089887640449438,0.5454545454545454,0.6515837104072397,129.05220818519592,0.8186039965165084,0.7706338567683519,0.7482203844076682,0.7322746594455944
0.6,both,COLUMN_WISE,,0.7640449438202247,0.5151515151515151,0.6153846153846153,129.8130578994751,0.8066290796084664,0.754480509703573,0.7293209028984046,0.7108171649322581
0.5,both,COLUMN_WISE,,0.7294117647058823,0.4696969696969697,0.5714285714285714,155.79261660575867,0.7895571699914298,0.731460302602549,0.7043355327703608,0.6851522308712683
0.4,both,COLUMN_WISE,,0.7191011235955056,0.48484848484848486,0.5791855203619909,397.99812936782837,0.8046711959869908,0.7512158239579546,0.7239959848593771,0.7055408818231486
0.3,both,COLUMN_WISE,,0.69,0.5227272727272727,0.5948275862068966,566.5776517391205,0.8102462336448111,0.7603683743204275,0.7365363033134406,0.7199014977030469
0.2,both,COLUMN_WISE,,0.74,0.5606060606060606,0.6379310344827586,570.4585256576538,0.840506281372426,0.7988766819085281,0.7795674357714335,0.7659113100969634
0.1,both,COLUMN_WISE,,0.69,0.5227272727272727,0.5948275862068966,569.2976713180542,0.8072748660757268,0.7561130758407847,0.7321131294401115,0.715489374100053
