threshold,method,embedding_comparison,embedding_method,Precision,Recall,F1 Score,Runtime,bleu1,bleu2,bleu3,bleu4
1.0,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.8919506072998047,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.49251246452331543,-1.0,-1.0,-1.0,-1.0
0.8,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.4873321056365967,-1.0,-1.0,-1.0,-1.0
0.7,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.6199054718017578,-1.0,-1.0,-1.0,-1.0
0.6,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.6074690818786621,-1.0,-1.0,-1.0,-1.0
0.5,threshold,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.7410097122192383,-1.0,-1.0,-1.0,-1.0
0.4,threshold,RECORD_WISE,FIELD_SERIALIZED,1.0,0.007575757575757576,0.015037593984962407,0.6530580520629883,0.2347477233882323,0.0938792082248881,0.06615778776093469,0.05214578185797302
0.3,threshold,RECORD_WISE,FIELD_SERIALIZED,0.697841726618705,0.7348484848484849,0.7158671586715867,0.5455214977264404,0.8791435819152431,0.846915431006653,0.8330239317532199,0.8230237107624365
0.2,threshold,RECORD_WISE,FIELD_SERIALIZED,0.012036108324974924,1.0,0.023785926660059464,0.5916519165039062,1.0,1.0,1.0,1.0
1.0,threshold,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,0.6876139640808105,-1.0,-1.0,-1.0,-1.0
0.9,threshold,RECORD_WISE,FULL_SERIALIZED,1.0,0.007575757575757576,0.015037593984962407,1.0624871253967285,0.11533143994144268,0.060385224463451015,0.04576146247909286,0.03915953854793376
0.8,threshold,RECORD_WISE,FULL_SERIALIZED,0.058222222222222224,0.9924242424242424,0.10999160369437448,0.6329195499420166,0.9976943346508566,0.9971338626678805,0.9968694393209289,0.9966700712267533
0.7,threshold,RECORD_WISE,FULL_SERIALIZED,0.008778346744696415,1.0,0.01740391588107324,0.9583263397216797,1.0,1.0,1.0,1.0
1.0,threshold,COLUMN_WISE,,0.0,0.0,0.0,1.0187842845916748,-1.0,-1.0,-1.0,-1.0
0.9,threshold,COLUMN_WISE,,0.8105263157894737,0.5833333333333334,0.6784140969162996,1.036787509918213,0.8099082244808259,0.7603881066424467,0.7361576586079828,0.719170905705405
0.8,threshold,COLUMN_WISE,,0.8211920529801324,0.9393939393939394,0.8763250883392226,1.136911153793335,0.9727556089946999,0.964784029218628,0.9603010022464545,0.9570555055932958
0.7,threshold,COLUMN_WISE,,0.6804123711340206,1.0,0.8098159509202454,1.3441667556762695,1.0,1.0,1.0,1.0
,zero-shot-prompting,,,0.7040816326530612,0.5227272727272727,0.6,447.9653444290161,0.8166178517939763,0.7683757500144516,0.7451108521427563,0.7285428371635542
1.0,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,2.201704740524292,-1.0,-1.0,-1.0,-1.0
0.9,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.4905233383178711,-1.0,-1.0,-1.0,-1.0
0.8,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.5249264240264893,-1.0,-1.0,-1.0,-1.0
0.7,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.5006089210510254,-1.0,-1.0,-1.0,-1.0
0.6,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.5346734523773193,-1.0,-1.0,-1.0,-1.0
0.5,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,0.5034594535827637,-1.0,-1.0,-1.0,-1.0
0.4,both,RECORD_WISE,FIELD_SERIALIZED,0.0,0.0,0.0,2.6907806396484375,-1.0,-1.0,-1.0,-1.0
0.3,both,RECORD_WISE,FIELD_SERIALIZED,0.8405797101449275,0.4393939393939394,0.5771144278606964,168.2384979724884,0.7487784072199798,0.6772687299423698,0.6452587600435008,0.6228339093573304
0.2,both,RECORD_WISE,FIELD_SERIALIZED,0.7419354838709677,0.5227272727272727,0.6133333333333333,504.56748843193054,0.8189880350257117,0.7711328817183356,0.7496127583325314,0.7341756241398638
0.1,both,RECORD_WISE,FIELD_SERIALIZED,0.6568627450980392,0.5075757575757576,0.5726495726495726,680.641783952713,0.7954900870176256,0.7387519527810673,0.7115134739893554,0.6926617682178916
1.0,both,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,1.7119879722595215,-1.0,-1.0,-1.0,-1.0
0.9,both,RECORD_WISE,FULL_SERIALIZED,0.0,0.0,0.0,2.382183313369751,-1.0,-1.0,-1.0,-1.0
0.8,both,RECORD_WISE,FULL_SERIALIZED,0.7634408602150538,0.5378787878787878,0.6311111111111111,230.46481084823608,0.8091357162524635,0.7582338081316166,0.7329722199339458,0.7147947382289851
0.7,both,RECORD_WISE,FULL_SERIALIZED,0.71875,0.5227272727272727,0.6052631578947368,582.5686266422272,0.8128025953606497,0.7636547453904907,0.7392707462324616,0.7223206264585948
0.6,both,RECORD_WISE,FULL_SERIALIZED,0.6792452830188679,0.5454545454545454,0.6050420168067228,589.3077607154846,0.8361996879060156,0.7929689689749032,0.7729684298966747,0.7587942737688737
0.5,both,RECORD_WISE,FULL_SERIALIZED,0.6952380952380952,0.553030303030303,0.6160337552742615,595.5740947723389,0.8213946783263928,0.7758526557964508,0.7558031410991148,0.7416088154766772
